product_name_bra,product_name_eng
Agro industria e comercio,Agro industry and commerce
Climatizacao,Air conditioning
Artes,Art
Artes e artesanato,Arts and craftmanship
Audio,Audio
Automotivo,Auto
Bebes,Baby
Cama mesa banho,Bed bath table
Livros interesse geral,Books general interest
Livros importados,Books imported
Livros tecnicos,Books technical
Cds dvds musicais,Cds dvds musicals
Artigos de natal,Christmas supplies
Cine foto,Cine photo
Pcs,Computers
Informatica acessorios,Computers accessories
Consoles games,Consoles games
Construcao ferramentas construcao,Construction tools construction
Construcao ferramentas iluminacao,Construction tools lights
Construcao ferramentas seguranca,Construction tools safety
Cool stuff,Cool stuff
Construcao ferramentas jardim,Costruction tools garden
Construcao ferramentas ferramentas,Costruction tools tools
Fraldas higiene,Diapers and hygiene
Bebidas,Drinks
Dvds blu ray,Dvds blu ray
Eletronicos,Electronics
Fashion roupa feminina,Fashio female clothing
Fashion bolsas e acessorios,Fashion bags accessories
Fashion roupa infanto juvenil,Fashion childrens clothes
Fashion roupa masculina,Fashion male clothing
Fashion calcados,Fashion shoes
Fashion esporte,Fashion sport
Fashion underwear e moda praia,Fashion underwear beach
Telefonia fixa,Fixed telephony
Flores,Flowers
Alimentos,Food
Alimentos bebidas,Food drink
Moveis quarto,Furniture bedroom
Moveis decoracao,Furniture decor
Moveis sala,Furniture living room
Moveis colchao e estofado,Furniture mattress and upholstery
Ferramentas jardim,Garden tools
Beleza saude,Health beauty
Eletrodomesticos,Home appliances
Eletrodomesticos 2,Home appliances 2
Casa conforto 2,Home comfort 2
Casa conforto,Home confort
Casa construcao,Home construction
Utilidades domesticas,Housewares
Industria comercio e negocios,Industry commerce and business
Moveis cozinha area de servico jantar e jardim,Kitchen dining laundry garden furniture
La cuisine,La cuisine
Malas acessorios,Luggage accessories
Market place,Market place
Musica,Music
Instrumentos musicais,Musical instruments
Moveis escritorio,Office furniture
Artigos de festas,Party supplies
Perfumaria,Perfumery
Pet shop,Pet shop
Seguros e servicos,Security and services
Sinalizacao e seguranca,Signaling and security
Eletroportateis,Small appliances
Portateis casa forno e cafe,Small appliances home oven and coffee
Esporte lazer,Sports leisure
Papelaria,Stationery
Tablets impressao imagem,Tablets printing image
Telefonia,Telephony
Brinquedos,Toys
Relogios presentes,Watches gifts
